dataset,classifier,score,nr_classes,nr_instances,log_nr_instances,nr_features,log_nr_features,missing_val,nr_categorical_features,dataset_ratio,labels_mean,labels_std,skew_min,skew_std,skew_mean,skew_q1,skew_q3,skew_max,kurtosis_min,kurtosis_std,kurtosis_mean,kurtosis_q1,kurtosis_q3,kurtosis_max,rho_min,rho_max,rho_mean,rho_std,class_entropy,prob_min,prob_mean,prob_std,prob_max,norm_entropy_min,norm_entropy_mean,norm_entropy_std,norm_entropy_max,mi_min,mi_mean,mi_std,mi_max,equiv_nr_feat,noise_signal_ratio
phpN4gaxw,sgd,0.9985623921794134,6,13910,9.540363285,130,4.86753445,0,0,0.009345794000000001,0.0,0.0,0.039874337,26.17718743,12.88473559,1.598410341,5.576381117,117.9348959,-1.387712346,2807.6704170000003,1021.258484,4.228135336999999,76.74607221,13909.092980000001,2.7699999999999996e-05,0.999649353,0.48546425200000004,0.269812375,2.545695833,0.117972682,0.166666667,0.038799145,0.216319195,7.94e-05,0.090617016,0.063418606,0.199426049,0.00012155299999999999,0.140745646,0.096914821,0.441801929,18.08720842,-0.356164692
phpNevWWL,liblinear_svc,0.7257142857142858,5,2800,7.937374696,27,3.295836866,0,0,0.009642857,0.0,0.0,0.676694695,9.862817581,6.729253111,2.113901863,8.138133503999999,52.91502622,-1.3662760919999999,524.8718536,146.48114819999998,4.802363042,64.27788472,2800.0,3.15e-10,0.9962293740000001,0.065861663,0.122512983,1.527663141,0.011071428999999999,0.2,0.212776351,0.582857143,0.00040213,0.046376701,0.048428118,0.17180089,0.00046077,0.025644132000000004,0.02424637,0.082151899,59.5716463,0.808472285
phpPbCMyg,lda,0.6098039215686275,6,6118,8.718990525,52,3.951243719,0,0,0.00849951,0.0,0.0,0.117725009,10.97916119,7.577034525,1.383245945,8.718971067,53.78484492,-1.339626417,579.4531297999999,223.7768193,1.307795971,99.66832517,2944.652532,8.7e-05,1.0,0.23090158800000002,0.21602775800000001,2.3000070580000003,0.079437725,0.166666667,0.116274882,0.417456685,0.00033840300000000003,0.09617344300000001,0.07835383900000001,0.24175901100000002,0.00028565,0.024984894,0.01843798,0.063113567,92.05590513,2.849263552
phpSZJq5T,passive_aggressive,0.9555555555555556,10,360,5.886104031,1088,6.992096427000001,0,0,3.022222222,0.0,0.0,0.0,4.722315681,8.180354962000001,4.656027962,10.6700492,18.97366596,-1.224563745,102.24984959999999,95.88914849,24.28051019,127.21836529999999,360.0,5.55e-08,1.0,0.06928324400000001,0.11406082199999999,3.321928095,0.1,0.1,0.0,0.1,0.003249043,0.05619663900000001,0.044018035,0.253004637,0.0064311509999999995,0.11765105199999999,0.10058657900000001,0.518637127,28.23543047,-0.522344779
phpTJRsqa,extra_trees,0.6734693877551021,7,4898,8.496582238,12,2.48490665,0,0,0.00244998,0.0,0.0,0.155796398,1.225843691,1.20503485,0.479952131,1.313126529,5.023330683,-0.69842533,10.06933041,6.495411033,0.561583663,7.07962722,37.56459971,0.000617796,0.838966455,0.17437042600000002,0.178718121,1.861714933,0.001020825,0.14285714300000002,0.161108787,0.448754594,0.10305247199999999,0.152679929,0.042993998,0.237587849,0.013227266000000001,0.039651702000000004,0.034034783,0.13389974699999999,46.95170309,2.8505265019999997
phpVeNa5j,gradient_boosting,1.0,4,5456,8.6044712,25,3.218875825,0,0,0.004582111,0.0,0.0,0.017563948,1.048705822,1.4975877819999999,0.773531292,1.996968303,3.8301415530000003,-1.604595454,4.501100596000001,2.260700733,-0.933358777,5.309922507,14.34959186,0.00020069,0.626802998,0.164091807,0.120418746,1.7146327419999998,0.060117302000000004,0.25,0.14797623699999998,0.40414222899999996,0.10433006,0.191470873,0.04238946,0.240171303,0.098799168,0.171824062,0.064236938,0.42357603899999996,9.979002506,0.114342605
phpWfYmlu,gaussian_nb,0.9794594594594594,2,7400,8.909235278999999,21,3.044522438,0,0,0.002837838,0.0,0.0,0.019464326,0.06189867,0.223603916,0.210352273,0.25698836199999997,0.31158745600000004,-2.000161797,0.754808758,1.338824056,1.4139282309999999,1.592698309,1.714405525,7.51e-07,0.15733426,0.028984682,0.037265313,0.9999317109999999,0.495135135,0.5,0.004864865,0.504864865,0.15759874599999998,0.166539186,0.004036805,0.17234082899999997,0.06923853099999999,0.075987439,0.004201478,0.0877192,13.15917104,1.191667305
phpYLeydd,random_forest,0.6836776022681248,5,9873,9.197559038,33,3.496507561,0,1,0.0033424490000000004,5.0,0.0,0.028491786,1.80415332,1.67505825,0.488446217,2.3308180640000002,7.171537945,7.601727432000001,51.27138254,47.82230871,11.3280406,47.891191299999996,193.89795790000002,0.000173754,0.9427847840000001,0.08952981300000001,0.166490891,2.1934237359999997,0.101083764,0.2,0.082227255,0.298794693,0.011451636000000001,0.061981111,0.025835179,0.109373761,0.00554934,0.036434667999999996,0.03217233,0.111444455,60.20155646,0.701157563
phpZrCzJR,adaboost,0.996078431372549,2,5100,8.536995819,37,3.610917913,0,1,0.007254902,2.0,0.0,0.0015548620000000002,0.131931145,0.16389399,0.066497008,0.22246709899999997,0.408362785,-1.000304061,0.38459556100000003,-0.463204665,-0.763330271,-0.097348676,0.081034719,0.16789307899999997,0.946040165,0.6376841670000001,0.229272583,0.110580845,0.014705882,0.5,0.485294118,0.985294118,0.18054820600000002,0.21755904899999998,0.020842201,0.24196233,0.001692294,0.021706989,0.013045891,0.047408371,5.094250715,9.022534579
phpbL6t4U,random_forest,0.9962622196664748,6,13910,9.540363285,129,4.8598124039999995,0,0,0.009273904,0.0,0.0,0.039874337,26.26354522,12.96235953,1.595833854,5.592150706,117.9348959,-1.387712346,2817.114169,1029.098008,4.204409527,79.65382514,13909.092980000001,2.7699999999999996e-05,0.999649353,0.48596431,0.270902972,2.545695833,0.117972682,0.166666667,0.038799145,0.216319195,7.94e-05,0.090283671,0.063553179,0.199426049,0.00012155299999999999,0.140425217,0.097224566,0.441801929,18.12848069,-0.35706938200000005
phpchCuL5,libsvm_svc,1.0,8,1080,6.98471632,81,4.394449155,2792,4,0.075,43588.0,2.598076211,0.005395766,1.149840658,0.93688587,0.228190272,0.9653286959999999,4.738900323999999,-0.7374629659999999,10.8923537,4.642972384,0.251306692,2.560359067,62.54850589,4.5799999999999995e-05,1.0,0.261051264,0.19765283399999997,2.993026787,0.097222222,0.125,0.012028131000000001,0.13888888900000002,0.08552749400000001,0.225136799,0.053557002,0.301562722,0.050351427000000004,0.239848416,0.176184781,0.706211875,12.47882658,-0.061337145999999995
phpdReP6S,gradient_boosting,0.9526813880126184,2,2534,7.8375543610000005,73,4.290459441,0,0,0.028808208,0.0,0.0,0.000118853,0.898933975,0.7831191679999999,0.434628622,0.8092749090000001,7.376460912000001,-0.976533196,9.080850707,1.6223117569999999,-0.258184521,1.0597148090000001,77.65898709999999,0.00014184200000000002,0.99803732,0.347782197,0.301705264,0.339790425,0.06314127900000001,0.5,0.436858721,0.9368587209999999,0.035765594,0.234104275,0.031751912,0.284098047,0.002263983,0.017987577,0.010301632,0.041611018,18.89028283,12.01477507
