dataset,best_type
AP_Breast_Omentum.csv,GB
AP_Breast_Prostate.csv,ET
AP_Endometrium_Lung.csv,GB
AP_Endometrium_Prostate.csv,DT
AP_Endometrium_Uterus.csv,GB
AP_Lung_Uterus.csv,GB
AP_Prostate_Lung.csv,ET
MagicTelescope.csv,GB
aaaData_for_UCI_named.csv,DT
analcatdata_authorship.csv,ET
analcatdata_broadwaymult.csv,GB
analcatdata_cyyoung9302.csv,GB
analcatdata_dmft.csv,ET
analcatdata_homerun.csv,DT
analcatdata_marketing.csv,RF
analcatdata_reviewer.csv,ET
arrhythmia.csv,GB
arsenic-male-bladder.csv,DT
audiology.csv,DT
autoHorse.csv,GB
autoMpg.csv,GB
autos.csv,GB
avila-tr.csv,RF
braziltourism.csv,RF
bridges.csv,AB
cars.csv,RF
churn.csv,ET
colleges_aaup.csv,RF
connect-4.csv,AB
dataset_105_lung-cancer.csv,GB
dataset_106_molecular-biology_promoters.csv,AB
dataset_113_primary-tumor.csv,GB
dataset_12_mfeat-factors.csv,AB
dataset_14_mfeat-fourier.csv,RF
dataset_16_mfeat-karhunen.csv,SVM
dataset_183_adult.csv,RF
dataset_185_yeast.csv,ET
dataset_186_satimage.csv,GB
dataset_187_abalone.csv,ET
dataset_189_baseball.csv,GB
dataset_190_braziltourism.csv,AB
dataset_194_eucalyptus.csv,AB
dataset_20_mfeat-pixel.csv,ET
dataset_22_mfeat-zernike.csv,SVM
dataset_23_cmc.csv,RF
dataset_24_mushroom.csv,DT
dataset_25_colic.ORIG.csv,RF
dataset_28_optdigits.csv,ET
dataset_29_credit-a.csv,AB
dataset_31_credit-g.csv,GB
dataset_32_pendigits.csv,SVM
dataset_35_dermatology.csv,ET
dataset_36_segment.csv,GB
dataset_37_diabetes.csv,ET
dataset_38_sick.csv,RF
dataset_39_ecoli.csv,ET
dataset_3_kr-vs-kp.csv,DT
dataset_40_sonar.csv,GB
dataset_41_glass.csv,GB
dataset_42_soybean.csv,AB
