dataset,best_type
dataset_44_spambase.csv,ET
dataset_46_splice.csv,AB
dataset_4_labor.csv,GB
dataset_50_tic-tac-toe.csv,GB
dataset_51_heart-h.csv,GB
dataset_53_heart-statlog.csv,RF
dataset_54_vehicle.csv,SVM
dataset_55_hepatitis.csv,AB
dataset_56_vote.csv,DT
dataset_57_hypothyroid.csv,RF
dataset_59_ionosphere.csv,AB
dataset_5_arrhythmia.csv,RF
dataset_60_waveform-5000.csv,GB
dataset_61_iris.csv,RF
dataset_6_letter.csv,SVM
dataset_7_audiology.csv,AB
dataset_9_autos.csv,GB
electricity-normalized.csv,GB
file7a97574fa9ae.csv,ET
fri_c2_1000_10.csv,GB
fri_c2_1000_5.csv,GB
fri_c3_500_10.csv,ET
gina_agnostic.csv,ET
heart-c.csv,RF
hiva_agnostic.csv,DT
irish.csv,DT
jm1.csv,ET
jungle_chess_2pcs_endgame_panther_lion.csv,DT
jungle_chess_2pcs_raw_endgame_complete.csv,GB
kc1.csv,RF
kc2.csv,GB
kdd_JapaneseVowels.csv,SVM
leukemia.csv,RF
lymphoma_2classes.csv,GB
mfeat-morphological.csv,DT
mfeat-pixel.csv,SVM
mozilla4.csv,RF
openml_phpJNxH0q.csv,ET
openml_phpZNNasq.csv,GB
page-blocks.csv,ET
pbc.csv,AB
pc1.csv,DT
pc3.csv,ET
pc4.csv,ET
php0FyS2T.csv,SVM
php0iVrYT.csv,DT
php1PI19i.csv,ET
php3CTpvq.csv,ET
php4fATLZ.csv,GB
php4ylQmK.csv,GB
php50jXam.csv,SVM
php5J5AK6.csv,AB
php5OMDBD.csv,ET
php5s7Ep8.csv,GB
php7KLval.csv,ET
php8Mz7BG.csv,ET
php9HX2u8(2).csv,DT
php9HX2u8.csv,GB
php9xWOpn.csv,DT
phpAmSP4g.csv,GB
phpBDgUyY.csv,SVM
phpBG0Qsi.csv,RF
phpCsX3fx.csv,ET
phpEZ030X.csv,ET
phpFsFYVN.csv,AB
phpGReJjU.csv,ET
phpGUrE90.csv,GB
phpH2fvsy.csv,GB
phpNevWWL.csv,RF
phpOJxGL9.csv,SVM
phpPQrHPH.csv,GB
phpPbCMyg.csv,ET
phpRql5hp.csv,AB
phpSOw1Kl.csv,AB
phpSRnbqC.csv,SVM
phpSZJq5T.csv,AB
phpSj3fWL.csv,ET
phpTJRsqa.csv,ET
phpTXWrKb.csv,RF
phpV5QYya.csv,GB
phpVDlhKL.csv,AB
phpVeNa5j.csv,GB
phpWfYmlu.csv,GB
phpXeun7q.csv,DT
phpXxoe1Q.csv,ET
phpYLeydd.csv,GB
phpZZfh5g.csv,AB
phpZrCzJR.csv,DT
phpajta2z.csv,ET
phpcSeK3V.csv,SVM
phpd0f4kM.csv,RF
phpd8EoD9.csv,SVM
phpdReP6S.csv,ET
phpdo58hj.csv,RF
phpelnJ6y.csv,AB
phpfKh1CO.csv,DT
phpfLuQE4.csv,RF
phpfrJpBS.csv,ET
phpgEDZOc.csv,DT
phpgNaXZe.csv,GB
phphQEck0.csv,RF
phpjuWdq9.csv,ET
phpkIxskf.csv,RF
phplVyjYQ.csv,RF
phpmPOD5A.csv,ET
phpn1jVwe.csv,ET
phpnYQXoc.csv,RF
phptbYBGx.csv,AB
phptd5jYj.csv,SVM
phpu00N5N.csv,ET
phpuZu33P.csv,ET
phpvtdNPU.csv,GB
phpvz1IQW.csv,SVM
phpxijhaP.csv,SVM
phpy0HwUD.csv,AB
phpyM5ND4.csv,GB
phpysQLwp.csv,SVM
profb.csv,GB
schizo.csv,ET
shuttle.csv,DT
solar-flare_1.csv,GB
speeddating.csv,DT
synthetic_control.csv,ET
tumors_C.csv,RF
vowel.csv,SVM
wine-quality-red.csv,ET
biomed.csv,AB
dataset_11_balance-scale.csv,SVM
dataset_188_kropt.csv,AB
dataset_48_tae.csv,AB
eye_movements.csv,ET
kin8nm.csv,SVM
php3isjYz.csv,SVM
phpAz9Len.csv,GB
phpSF8oeR.csv,GB
phpflaNJC.csv,AB
phplE7q6h.csv,AB
phpmcGu2X.csv,GB
phpoOxxNn.csv,SVM
phpoW7Dbi.csv,SVM
